stationName,stationID,sLongitude,sLatitude,clusterID
Prospect Park SW & Greenwood Ave,3385.06,-73.972573,40.652563,149
Loring Pl North & W 183 St,8555.05,-73.909336,40.860424,160
E 106 St & Lexington Ave,7504.18,-73.945993,40.791976,190
Wards Meadow Comfort Station,7327.01,-73.93077,40.78294,102
18 St & 27 Ave,7062.07,-73.927436,40.772768,39
E 89 St & 3 Ave,7265.10,-73.952167,40.780628,0
Pierrepont St & Monroe Pl,4718.08,-73.99344,40.695357,80
Central Park S & 6 Ave,6876.04,-73.976342,40.765909,66
E 32 St & Park Ave,6280.12,-73.981948,40.745712,5
21 St & 23 Ave,7210.07,-73.919046,40.778557,116
2 Ave & E 29 St,6122.09,-73.978093,40.741724,104
W 36 St & 7 Ave,6483.06,-73.989539,40.752149,60
Clay Ave & Claremont Pkwy,8225.05,-73.90549,40.83999,106
W 64 St & Thelonious Monk Circle,7123.04,-73.989187,40.77516,125
W 76 St & Columbus Ave,7281.09,-73.977285,40.780184,15
E 13 St & 2 Ave,5820.08,-73.985302,40.731539,78
Beaver St & Fayette St,4840.06,-73.93921,40.70099,103
E 39 St & 2 Ave,6345.08,-73.973828,40.748033,164
E 23 St & 1 Ave,5929.01,-73.978095,40.736502,104
Driggs Ave & N 9 St,5411.08,-73.955201,40.71817,191
Harman St & Seneca Ave,5002.09,-73.91292,40.70577,37
E 6 St & Avenue D,5506.14,-73.976687,40.722281,23
30 St & 4 Ave,3564.04,-74.001141,40.657743,120
10 St & 2 Ave,3922.02,-73.993612,40.671907,21
Manhattan Av & Leonard St,5442.09,-73.94844,40.72084,52
W Broadway & Spring St,5569.06,-74.001659,40.724947,20
Willoughby Ave & Walworth St,4634.02,-73.95382,40.693317,140
E 106 St & Madison Ave,7528.31,-73.94945,40.793434,172
Cliff St & Fulton St,5065.14,-74.00495,40.70838,1
River Ave & E 153 St,8005.08,-73.92818,40.82441,124
2 Av & 37 St,3460.04,-74.009627,40.656326,183
E 174 St & Longfellow Ave,8144.09,-73.884308,40.836274,158
Evergreen Ave & Noll St,4873.08,-73.93318,40.70106,103
Broadway & E 21 St,6098.10,-73.989586,40.739888,119
E 97 St & 3 Ave,7365.08,-73.948603,40.78592,0
Columbus Ave & W 72 St,7175.05,-73.978985,40.777057,15
Underhill Ave & Pacific St,4231.04,-73.96468,40.680484,12
DeKalb Ave & S Portland Ave,4546.04,-73.974931,40.68981,130
3 Ave & E 71 St,6960.10,-73.961199,40.768737,101
Madison Ave & E 26 St,6131.12,-73.986713,40.742685,5
Fulton St & Irving Pl,4263.12,-73.959432,40.68186,184
Railroad Ave & Kay Ave,4990.01,-73.971001,40.705312,46
E 138 St & Cypress Ave,7669.10,-73.914718,40.805559,87
Concourse Village East & E 158 St,8000.02,-73.919379,40.823732,124
W 165 St & Fort Washington Ave,8226.05,-73.942939,40.84004,18
Caton Ave & E 7 St,3199.01,-73.973663,40.647718,149
6 Ave & 60 St,2912.08,-74.013821,40.638196,53
5 Ave & W 131 St,7735.05,-73.93973,40.81014,134
Riverside Dr & W 104 St,7623.13,-73.971146,40.801343,181
Onderdonk Ave & Gates Ave,4994.10,-73.90737,40.70413,37
Adam Clayton Powell Blvd & W 151 St,8009.05,-73.936232,40.825289,170
Courtlandt Ave & E 157 St,7979.01,-73.916792,40.822267,49
1 Pl & Clinton St,4193.14,-73.999057,40.680959,112
Bergen St & Flatbush Ave,4281.08,-73.975673,40.680945,100
Broadway & W 155 St,8123.02,-73.94592,40.83299,107
W 133 St & 12 Ave,7925.04,-73.959089,40.820003,150
Broadway & W 192 St,8511.08,-73.932173,40.857994,59
9 Ave & W 18 St,6190.08,-74.003664,40.743174,25
W 204 St & Vermilyea Ave,8632.07,-73.922648,40.866141,19
Riverside Dr & W 82 St,7388.10,-73.981281,40.787209,131
Dyckman St & 10 Ave,8507.02,-73.923094,40.858904,196
Clinton St & Centre St,4045.01,-74.001947,40.67434,135
W 42 St & 6 Ave,6517.08,-73.98455,40.75492,68
4 Ave & E 12 St,5788.15,-73.99011,40.732647,78
Walnut Ave & E 136 St,7639.06,-73.909513,40.801657,197
W 15 St & 7 Ave,6030.06,-73.999318,40.739355,62
Macombs Rd & W 175 St,8344.04,-73.916082,40.848177,61
E 58 St & 1 Ave (NW Corner),6723.10,-73.962658,40.759125,40
28 St & 41 Ave,6462.19,-73.93797,40.751047,14
48 St & 37 Ave,6435.02,-73.915026,40.751555,35
